# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
153,714.8806752456079,714.87647780502914,5.8715261499019413e-06,670.69280423537452,0.061811533785064168,723.19678251691653,0.011632860642724048
154,715.54011347445544,715.73537630489739,0.00027288872666244798,678.3589287619825,0.051962404360437434,724.04709264856763,0.011888892060578915
155,720.4811212794425,720.48112127949469,7.2426961613589024e-14,678.35892876199443,0.058463978129845752,728.79915223457317,0.011545106054075875
156,720.48112127984848,720.48112127952629,4.4718520525663534e-13,679.66168766188252,0.056655799038085992,728.99464746671799,0.011816445893469425
157,722.62218327777418,722.65558493885078,4.6222855939860051e-05,680.22986765100018,0.058664564426302017,731.07624269693895,0.011699141840370329
158,722.65558967098627,722.66008676268768,6.223008256889326e-06,684.17647098025566,0.053246829112952067,731.34988839622463,0.012031040580751242
159,730.35072568061207,730.35072568061264,7.7830303800733231e-16,696.93615379110088,0.045751405064152206,739.06864571688493,0.011936621310465119
160,730.35072568063072,730.35072568061639,1.9613236557784275e-14,697.29699087290498,0.045257345061062534,739.34825689663182,0.012319466387352597
161,747.14932996148684,747.1949501215031,6.1058958613544322e-05,699.5930227095397,0.063650337817205194,756.70644593821578,0.012791440202752476
162,747.81237634080071,747.78514133391911,3.6419572266058527e-05,699.59302270954129,0.064480550411864818,757.48438399714121,0.012933735736853693
163,753.38538942868195,753.38526449609435,1.6582825914740674e-07,710.36438983957123,0.057103575663625519,762.88924608866046,0.012614867229089234
164,753.69072369092999,754.51815117663466,0.0010978342438031417,713.76630815259648,0.052971881281512929,763.38887185988756,0.012867543495114774
165,759.20618101574985,759.14897540592415,7.534924142630767e-05,724.08942138194482,0.046254575518368347,768.81898890191133,0.012661656512464639
166,764.14412491887049,764.34599908557971,0.00026418336557995561,730.85761208773874,0.043560516590591847,774.12993933817665,0.013067972511555153
